Sample	Individual	TMT11Plex	Well_location	Plate_location	Treatment	Drug_first	Product.Name	Pathway	Name	ATC	Level_4	Level_3	Level_2	Level_1	synonym	smiles	drug	ATC_colours	Selected_N
V45_P1A11	V45	V45_P1A	P1A11	P1	Drug	Topiramate	Topiramate	Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling	Topiramate	N03AX11	N03AX	N03A	N03	N	"['2,3:4,5-bis-O-(1-methylethylidene)-Œ≤-D-fructopyranose sulfamate', '2,3:4,5-di-O-isopropylidene-Œ≤-D-fructopyranose sulfamate', 'Tipiramate', 'Tipiramato', 'Topiramate', 'Topiramato', 'Topiramatum', 'TPM']"	NS(OC[C@]1(OC(C)(C)O2)[C@@H]2[C@H](OC(C)(C)O3)[C@H]3CO1)(=O)=O	Topiramate	1f6e9c	xOthers
V45_P1A2	V45	V45_P1A	P1A2	P1	Drug	Paroxetine	Paroxetine	Autophagy; Neuronal Signaling	Paroxetine	N06AB05	N06AB	N06A	N06	N	"['(‚àí)-(3S,4R)-4-(p-fluorophenyl)-3-((3,4-(methylenedioxy)phenoxy)methyl)piperidine', '(3S-trans)-3-((1,3-benzodioxol-5-yloxy)methyl)-4-(4-fluorophenyl)piperidine', 'Paroxetina', 'Paroxetine', 'Paroxetinum']"	FC1=CC=C([C@H]2[C@H](COC3=CC=C(OCO4)C4=C3)CNCC2)C=C1.Cl	Paroxetine (hydrochloride)	1f6e9c	Selectedv45
V45_P1A7	V45	V45_P1A	P1A7	P1	Drug	Amlodipine	Amlodipine	Membrane Transporter/Ion Channel; Neuronal Signaling	Amlodipine	C08CA01	C08CA	C08C	C08	C	"['(RS)-3-ethyl 5-methyl 2-[(2-aminoethoxy)methyl]-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate', '3-Ethyl 5-methylester, (¬±)-2-[(2-aminoethoxy)methyl]-4-(o-chlorophenyl)-1,4-dihydro-6-methyl-3,5-pyridinedicarboxylate', 'Amlodipine', 'Amlodipine free base', 'Amlodipino', 'Amlodipinum']"	O=C(C1=C(COCCN)NC(C)=C(C(OC)=O)C1C2=CC=CC=C2Cl)OCC	Amlodipine	d8443c	xOthers
V45_P1A8	V45	V45_P1A	P1A8	P1	Drug	Canagliflozin	Canagliflozin	Membrane Transporter/Ion Channel	Canagliflozin	A10BK02	A10BK	A10B	A10	A	"['Canagliflozin', 'Canagliflozin anhydrous', 'Canagliflozina']"	FC1=CC=C(C2=CC=C(CC3=C(C=CC([C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO)=C3)C)S2)C=C1	Canagliflozin	f4c40f	xOthers
V45_P1A9	V45	V45_P1A	P1A9	P1	Drug	Rapamycin	Rapamycin	Anti-infection; Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; PI3K/Akt/mTOR	Sirolimus	L04AH01	L04AH	L04A	L04	L	"['(-)-Rapamycin', 'Rapamycin', 'Sirolimús', 'Sirolimus', 'Sirolimusum']"	O=C([C@@]1(O)[C@@H](CC[C@@H](C[C@@H](/C(C)=C/C=C/C=C/[C@H](C[C@@H](C)C([C@@H]([C@@H](/C(C)=C/[C@H]2C)O)OC)=O)C)OC)O1)C)C(N3CCCC[C@H]3C(O[C@@H](CC2=O)[C@@H](C[C@H]4C[C@H]([C@H](O)CC4)OC)C)=O)=O	Rapamycin	9f5691	xOthers
V45_P1B11	V45	V45_P1B	P1B11	P1	Drug	Propranolol	Propranolol	GPCR/G Protein; Neuronal Signaling	Propranolol	C07AA05	C07AA	C07A	C07	C	"['1-((1-Methylethyl)amino)-3-(1-naphthalenyloxy)-2-propanol', '1-(isopropylamino)-3-(1-naphthyloxy)propan-2-ol', 'beta-Propranolol', 'Propanalol', 'Propanolol', 'Propranolol', 'Propranololo', 'Propranololum', 'Œ≤-Propranolol']"	OC(CNC(C)C)COC1=CC=CC2=CC=CC=C12.Cl	Propranolol (hydrochloride)	d8443c	xOthers
V45_P1B3	V45	V45_P1B	P1B3	P1	Drug	Levetiracetam	Levetiracetam	GPCR/G Protein; Neuronal Signaling	Levetiracetam	N03AX14	N03AX	N03A	N03	N	"['Levetiracetam', 'Levetiracetame', 'Levetiracetamum']"	NC([C@@H](N(CCC1)C1=O)CC)=O	Levetiracetam	1f6e9c	xOthers
V45_P1B9	V45	V45_P1B	P1B9	P1	Drug	Fluoxetine	Fluoxetine	Autophagy; Neuronal Signaling	Fluoxetine	N06AB03	N06AB	N06A	N06	N	"['(+-)-N-Methyl-3-phenyl-3-((alpha,alpha,alpha-trifluoro-P-tolyl)oxy)propylamine', '(+-)-N-Methyl-gamma-(4-(trifluoromethyl)phenoxy)benzenepropanamine', 'Fluoxetin', 'Fluoxetina', 'Fluoxetine', 'Fluox√©tine', 'Fluoxetinum']"	FC(C1=CC=C(OC(C2=CC=CC=C2)CCNC)C=C1)(F)F.Cl	Fluoxetine (hydrochloride)	1f6e9c	Selectedv45
V45_P1C3	V45	V45_P1C	P1C3	P1	Drug	Duloxetine	Duloxetine	Neuronal Signaling	Duloxetine	N06AX21	N06AX	N06A	N06	N	"['(3S)-N-methyl-3-(1-naphthyloxy)-3-(2-thienyl)propan-1-amine', '(S)-duloxetine', 'Duloxetina', 'Duloxetine']"	CNCC[C@H](OC1=CC=CC2=C1C=CC=C2)C3=CC=CS3.[H]Cl	Duloxetine (hydrochloride)	1f6e9c	Selectedv45
V45_P1D10	V45	V45_P1D	P1D10	P1	Drug	Donepezil	Donepezil	Neuronal Signaling	Donepezil	N06DA02	N06DA	N06D	N06	N	"['Domepezil', 'Donepezil', 'Donepezilo', 'Donepezilum']"	O=C1C(CC2CCN(CC3=CC=CC=C3)CC2)CC4=C1C=C(OC)C(OC)=C4.[H]Cl	Donepezil (Hydrochloride)	1f6e9c	xOthers
V45_P1D3	V45	V45_P1D	P1D3	P1	Drug	Estradiol	Estradiol	Metabolic Enzyme/Protease; Others	Estradiol	G03CA03	G03CA	G03C	G03	G	"['(17Œ≤)-estra-1,3,5(10)-triene-3,17-diol', '17beta oestradiol', '17Œ≤-estra-1,3,5(10)-triene-3,17-diol', '17Œ≤-estradiol', '17Œ≤-oestradiol', 'beta-Estradiol', 'cis-Estradiol', 'Estradiol', 'Estradiol-17beta', 'Estradiolum']"	C[C@@]1([C@H]2O)[C@](CC2)([H])[C@@](CCC3=C4C=CC(O)=C3)([H])[C@]4([H])CC1	Estradiol	de597c	xOthers
V45_P1D7	V45	V45_P1D	P1D7	P1	Drug	Acyclovir	Acyclovir	Anti-infection; Apoptosis	Acyclovir	J05AB01	J05AB	J05A	J05	J	"['Aciclovir', 'Aciclovirum', 'Acycloguanosine', 'Acyclovir']"	O=C1NC(N)=NC2=C1N=CN2COCCO	Acyclovir	9b3441	xOthers
